time	V(out)
2.004237075308033e-04	9.964258e-01
2.005521213415450e-04	9.963754e-01
2.007174622002947e-04	9.960290e-01
2.008241812774906e-04	9.959151e-01
2.010000000000000e-04	9.954742e-01
2.010175818722509e-04	9.960953e-01
2.010527456167528e-04	9.973626e-01
2.011230731057565e-04	9.989836e-01
2.012073207964761e-04	9.994325e-01
2.013124756032956e-04	9.992959e-01
2.014358441572104e-04	9.992768e-01
2.016825812650399e-04	9.993036e-01
2.021175129131986e-04	9.992955e-01
2.028426242719481e-04	9.992982e-01
2.038191867719481e-04	9.992975e-01
2.047957492719481e-04	9.992977e-01
2.057723117719481e-04	9.992975e-01
2.067488742719481e-04	9.992976e-01
2.077254367719481e-04	9.992975e-01
2.087019992719481e-04	9.992976e-01
2.096785617719481e-04	9.992975e-01
2.106551242719481e-04	9.992976e-01
2.116316867719481e-04	9.992975e-01
2.126082492719481e-04	9.992975e-01
2.135848117719481e-04	9.992976e-01
2.145613742719481e-04	9.992976e-01
2.155379367719481e-04	9.992976e-01
2.165144992719481e-04	9.992976e-01
2.174910617719481e-04	9.992976e-01
2.184676242719481e-04	9.992976e-01
2.194441867719481e-04	9.992976e-01
2.204207492719481e-04	9.992976e-01
2.213973117719481e-04	9.992976e-01
2.223738742719481e-04	9.992976e-01
2.233504367719481e-04	9.992976e-01
2.243269992719481e-04	9.992976e-01
2.253035617719481e-04	9.992976e-01
2.262801242719481e-04	9.992976e-01
2.272566867719481e-04	9.992976e-01
2.282332492719481e-04	9.992976e-01
2.292098117719481e-04	9.992976e-01
3.000234374999999e-04	9.992976e-01
3.009999999999999e-04	9.992976e-01
3.010421915657714e-04	1.000759e+00
3.011265746973143e-04	1.002851e+00
3.012953409604001e-04	1.004669e+00
3.014423255496027e-04	1.005573e+00
3.015947781346214e-04	1.006878e+00
3.016950948299627e-04	1.007899e+00
3.017993666093174e-04	1.009306e+00
3.020000000000000e-04	1.012921e+00
3.020200633390682e-04	1.012181e+00
3.020601900172047e-04	1.009865e+00
3.021404433734777e-04	1.005550e+00
3.022635255779293e-04	1.003389e+00
3.024054536163201e-04	1.004393e+00
3.025349382675457e-04	1.004781e+00
3.027365424332360e-04	1.004280e+00
3.029499754910233e-04	1.004292e+00
3.033768416065979e-04	1.004396e+00
3.038812805425829e-04	1.004348e+00
3.046013377958587e-04	1.004382e+00
3.055779002958587e-04	1.004369e+00
3.065544627958587e-04	1.004374e+00
3.075310252958587e-04	1.004370e+00
3.085075877958587e-04	1.004374e+00
3.094841502958587e-04	1.004371e+00
3.104607127958587e-04	1.004373e+00
3.114372752958587e-04	1.004371e+00
3.124138377958587e-04	1.004372e+00
3.133904002958587e-04	1.004372e+00
3.143669627958587e-04	1.004372e+00
3.153435252958587e-04	1.004372e+00
3.163200877958587e-04	1.004372e+00
3.172966502958587e-04	1.004373e+00
3.182732127958587e-04	1.004372e+00
3.192497752958587e-04	1.004373e+00
3.202263377958587e-04	1.004372e+00
3.212029002958587e-04	1.004373e+00
3.221794627958587e-04	1.004372e+00
3.231560252958587e-04	1.004373e+00
3.241325877958587e-04	1.004372e+00
3.260857127958587e-04	1.004372e+00
3.270622752958587e-04	1.004372e+00
3.280388377958587e-04	1.004372e+00
3.290154002958587e-04	1.004372e+00
3.299919627958587e-04	1.004372e+00
3.309685252958587e-04	1.004372e+00
3.319450877958587e-04	1.004372e+00
3.329216502958587e-04	1.004372e+00
3.338982127958587e-04	1.004372e+00
3.348747752958587e-04	1.004372e+00
3.358513377958587e-04	1.004372e+00
3.368279002958587e-04	1.004372e+00
3.378044627958587e-04	1.004372e+00
3.387810252958587e-04	1.004372e+00
3.397575877958587e-04	1.004372e+00
3.417107127958587e-04	1.004372e+00
3.426872752958587e-04	1.004372e+00
3.436638377958587e-04	1.004372e+00
3.446404002958587e-04	1.004372e+00
3.456169627958587e-04	1.004372e+00
3.465935252958587e-04	1.004372e+00
3.475700877958587e-04	1.004372e+00
3.485466502958587e-04	1.004372e+00
3.495232127958587e-04	1.004372e+00
3.504997752958587e-04	1.004372e+00
3.514763377958587e-04	1.004372e+00
3.524529002958587e-04	1.004372e+00
3.534294627958587e-04	1.004372e+00
3.587308020815730e-04	1.004372e+00
3.640321413672873e-04	1.004372e+00
3.693334806530016e-04	1.004372e+00
3.746348199387159e-04	1.004372e+00
3.799361592244302e-04	1.004372e+00
3.852374985101445e-04	1.004372e+00
3.905388377958587e-04	1.004372e+00
3.990234375000000e-04	1.004372e+00
4.000000000000000e-04	1.004372e+00
4.000593781596883e-04	1.000549e+00
4.001781344790650e-04	9.959052e-01
4.003139961056516e-04	9.954958e-01
4.004236946898974e-04	9.964258e-01
4.005521053114977e-04	9.963754e-01
4.007174373525204e-04	9.960290e-01
4.008241870100123e-04	9.959151e-01
4.010000000000000e-04	9.954742e-01
4.010175812989988e-04	9.960952e-01
4.010527438969963e-04	9.973626e-01
4.011230690929913e-04	9.989836e-01
4.012073168037855e-04	9.994325e-01
4.013124705525538e-04	9.992959e-01
4.014358369457886e-04	9.992768e-01
4.016825697322580e-04	9.993036e-01
4.021174695793970e-04	9.992955e-01
4.028425652811198e-04	9.992982e-01
4.038191277811198e-04	9.992975e-01
4.047956902811198e-04	9.992977e-01
4.057722527811198e-04	9.992975e-01
4.067488152811198e-04	9.992976e-01
4.077253777811198e-04	9.992975e-01
4.087019402811198e-04	9.992976e-01
4.096785027811198e-04	9.992975e-01
