v1	V(out)
4.080000000000003e-01	-7.822834e-01
4.090000000000003e-01	-7.822209e-01
4.100000000000003e-01	-7.821569e-01
4.110000000000003e-01	-7.820915e-01
4.120000000000003e-01	-7.820246e-01
4.130000000000003e-01	-7.819561e-01
4.140000000000003e-01	-7.818862e-01
4.150000000000003e-01	-7.818146e-01
4.160000000000003e-01	-7.817415e-01
4.170000000000003e-01	-7.816667e-01
4.180000000000003e-01	-7.815902e-01
4.190000000000003e-01	-7.815121e-01
4.200000000000003e-01	-7.814322e-01
4.210000000000003e-01	-7.813505e-01
4.220000000000003e-01	-7.812670e-01
4.230000000000003e-01	-7.811816e-01
4.240000000000003e-01	-7.810944e-01
4.250000000000003e-01	-7.810053e-01
4.260000000000003e-01	-7.809141e-01
4.270000000000003e-01	-7.808210e-01
4.280000000000003e-01	-7.807259e-01
4.290000000000003e-01	-7.806286e-01
4.300000000000003e-01	-7.805293e-01
4.310000000000003e-01	-7.804278e-01
4.320000000000003e-01	-7.803241e-01
4.330000000000003e-01	-7.802181e-01
4.340000000000003e-01	-7.801099e-01
4.350000000000003e-01	-7.799993e-01
4.360000000000003e-01	-7.798864e-01
4.370000000000003e-01	-7.797710e-01
4.380000000000003e-01	-7.796532e-01
4.390000000000003e-01	-7.795328e-01
4.400000000000003e-01	-7.794100e-01
4.410000000000003e-01	-7.792845e-01
4.420000000000003e-01	-7.791563e-01
4.430000000000003e-01	-7.790256e-01
4.440000000000003e-01	-7.788919e-01
4.450000000000003e-01	-7.787556e-01
4.460000000000003e-01	-7.786164e-01
4.470000000000003e-01	-7.784743e-01
4.480000000000003e-01	-7.783292e-01
4.490000000000003e-01	-7.781811e-01
4.500000000000003e-01	-7.780300e-01
4.510000000000003e-01	-7.778758e-01
4.520000000000003e-01	-7.777185e-01
4.530000000000003e-01	-7.775579e-01
4.540000000000003e-01	-7.773941e-01
4.550000000000003e-01	-7.772269e-01
4.560000000000003e-01	-7.770564e-01
4.570000000000004e-01	-7.768825e-01
4.580000000000004e-01	-7.767050e-01
4.590000000000004e-01	-7.765241e-01
4.600000000000004e-01	-7.763395e-01
4.610000000000004e-01	-7.761512e-01
4.620000000000004e-01	-7.759593e-01
4.630000000000004e-01	-7.757636e-01
4.640000000000004e-01	-7.755640e-01
4.650000000000004e-01	-7.753605e-01
4.660000000000004e-01	-7.751531e-01
4.670000000000004e-01	-7.749417e-01
4.680000000000004e-01	-7.747262e-01
4.690000000000004e-01	-7.745065e-01
4.700000000000004e-01	-7.742827e-01
4.710000000000004e-01	-7.740545e-01
4.720000000000004e-01	-7.738221e-01
4.730000000000004e-01	-7.735853e-01
4.740000000000004e-01	-7.733440e-01
4.750000000000004e-01	-7.730982e-01
4.760000000000004e-01	-7.728477e-01
4.770000000000004e-01	-7.725927e-01
4.780000000000004e-01	-7.723329e-01
4.790000000000004e-01	-7.720683e-01
4.800000000000004e-01	-7.717989e-01
4.810000000000004e-01	-7.715246e-01
4.820000000000004e-01	-7.712453e-01
4.830000000000004e-01	-7.709609e-01
4.840000000000004e-01	-7.706714e-01
4.850000000000004e-01	-7.703768e-01
4.860000000000004e-01	-7.700769e-01
4.870000000000004e-01	-7.697716e-01
4.880000000000004e-01	-7.694609e-01
4.890000000000004e-01	-7.691448e-01
4.900000000000004e-01	-7.688231e-01
4.910000000000004e-01	-7.684959e-01
4.920000000000004e-01	-7.681629e-01
4.930000000000004e-01	-7.678242e-01
4.940000000000004e-01	-7.674797e-01
4.950000000000004e-01	-7.671293e-01
4.960000000000004e-01	-7.667729e-01
4.970000000000004e-01	-7.664105e-01
4.980000000000004e-01	-7.660419e-01
4.990000000000004e-01	-7.656672e-01
5.000000000000003e-01	-7.652862e-01
5.010000000000003e-01	-7.648989e-01
5.020000000000003e-01	-7.645051e-01
5.030000000000003e-01	-7.641050e-01
5.040000000000003e-01	-7.636982e-01
5.050000000000003e-01	-7.632847e-01
5.060000000000003e-01	-7.628646e-01
5.070000000000003e-01	-7.624376e-01
5.080000000000003e-01	-7.620038e-01
5.090000000000003e-01	-7.615631e-01
5.100000000000003e-01	-7.611153e-01
5.110000000000003e-01	-7.606604e-01
5.120000000000003e-01	-7.601983e-01
5.130000000000003e-01	-7.597290e-01
5.140000000000003e-01	-7.592523e-01
5.150000000000003e-01	-7.587681e-01
5.160000000000003e-01	-7.582764e-01
5.170000000000003e-01	-7.577772e-01
5.180000000000003e-01	-7.572702e-01
